,Village_ID,Bridge Site,value,Bridge_Lon,Bridge_Lat,Center_point,Village_Lat,Village_Lon,Purpose of Travel for Summary
18,28080207,Gahororo,1,29.649033,-2.621482,POINT (29.90752891275115 -2.063972371895465),-2.063972371895465,29.907528912751147,Livelihood
19,24030306,Gahororo,964,29.649033,-2.621482,POINT (29.64730571502607 -2.614613777499427),-2.614613777499427,29.647305715026068,Livelihood
20,24030201,Gahororo,74,29.649033,-2.621482,POINT (29.65979303277305 -2.640605433395425),-2.640605433395425,29.659793032773052,Worship
21,24030101,Gahororo,8,29.649033,-2.621482,POINT (29.62133796415553 -2.606096631551044),-2.606096631551044,29.621337964155533,Education
22,24020403,Gahororo,2,29.649033,-2.621482,POINT (29.69410428038623 -2.558249617473342),-2.5582496174733422,29.694104280386227,Healthcare
23,24030202,Gahororo,76,29.649033,-2.621482,POINT (29.64448813469281 -2.641955684539331),-2.641955684539331,29.644488134692814,Healthcare
24,24030501,Gahororo,254,29.649033,-2.621482,POINT (29.66679308874816 -2.616188414834789),-2.6161884148347894,29.666793088748157,Livelihood
25,26020608,Kanyarira,1,29.705778,-2.11375,POINT (29.77134925480694 -2.176857510954247),-2.176857510954247,29.77134925480694,Other
26,24090103,Kanyarira,1,29.705778,-2.11375,POINT (29.74705197936801 -2.598583784100765),-2.598583784100765,29.747051979368006,Education
27,26020103,Kanyarira,8,29.705778,-2.11375,POINT (29.74542212482207 -2.161595665015674),-2.1615956650156742,29.74542212482207,Other
28,26020111,Kanyarira,19,29.705778,-2.11375,POINT (29.73882967301832 -2.158164441413939),-2.158164441413939,29.738829673018316,Livelihood
29,26020203,Kanyarira,3,29.705778,-2.11375,POINT (29.76413652347636 -2.155180152304116),-2.1551801523041156,29.764136523476363,Other
30,26020401,Kanyarira,160,29.705778,-2.11375,POINT (29.70179625684587 -2.119172269906717),-2.1191722699067173,29.701796256845867,Livelihood
31,26020404,Kanyarira,169,29.705778,-2.11375,POINT (29.71092762961464 -2.122300964997972),-2.122300964997972,29.710927629614638,Livelihood
32,26020407,Kanyarira,2,29.705778,-2.11375,POINT (29.73113357791168 -2.123563328647228),-2.1235633286472275,29.731133577911677,Other
33,26020408,Kanyarira,1,29.705778,-2.11375,POINT (29.72188237976525 -2.116253713570553),-2.1162537135705533,29.721882379765255,Livelihood
34,26020601,Kanyarira,1,29.705778,-2.11375,POINT (29.79636601163933 -2.168400165676117),-2.1684001656761174,29.79636601163933,Other
35,11030309,Kanyarira,4,29.705778,-2.11375,POINT (30.0197309789764 -1.951548474283884),-1.9515484742838844,30.019730978976405,Other
36,26040301,Kanyarira,1,29.705778,-2.11375,POINT (29.93591075422497 -2.229997765391437),-2.2299977653914373,29.93591075422497,Other
37,35010101,Kanyarira,1,29.705778,-2.11375,POINT (29.57366318170945 -1.934786042202139),-1.9347860422021392,29.573663181709446,Worship
38,33040403,Kanyarira,1,29.705778,-2.11375,POINT (29.24716901113194 -1.680262268476403),-1.6802622684764033,29.247169011131945,Other
39,31070303,Kanyarira,6,29.705778,-2.11375,POINT (29.61550425661748 -2.090601862240439),-2.0906018622404394,29.61550425661748,Worship
40,28120504,Kanyarira,1,29.705778,-2.11375,POINT (29.99471783764983 -1.968764125527503),-1.968764125527503,29.994717837649826,Other
41,28060101,Kanyarira,2,29.705778,-2.11375,POINT (29.8570671817576 -2.019695068219059),-2.0196950682190593,29.857067181757596,Other
42,28010306,Kanyarira,2,29.705778,-2.11375,POINT (29.88470658691747 -2.003812322252273),-2.003812322252273,29.884706586917467,Other
43,27120101,Kanyarira,2,29.705778,-2.11375,POINT (29.78268912800879 -2.111964101913018),-2.1119641019130184,29.782689128008794,Other
